UN;ISO;name;short_name
581;UM;МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ;МАЛЫЕ ТИХООК. О-ВА
583;FM;Федеративные штаты Микронезии;МИКРОНЕЗИЯ,ФЕД.ШТАТЫ
584;MH;Республика Маршалловы Острова;МАРШАЛЛОВЫ ОСТРОВА
585;PW;Республика Палау;ПАЛАУ
586;PK;Исламская Республика Пакистан;ПАКИСТАН
591;PA;Республика Панама;ПАНАМА
598;PG;ПАПУА-НОВАЯ ГВИНЕЯ;ПАПУА-НОВАЯ ГВИНЕЯ
600;PY;Республика Парагвай;ПАРАГВАЙ
604;PE;Республика Перу;ПЕРУ
608;PH;Республика Филиппины;ФИЛИППИНЫ
612;PN;ПИТКЕРН;ПИТКЕРН
616;PL;Республика Польша;ПОЛЬША
620;PT;Португальская Республика;ПОРТУГАЛИЯ
624;GW;Республика Гвинея-Бисау;ГВИНЕЯ-БИСАУ
626;TP;Демократическая Республика Тимор-Лесте;ТИМОР-ЛЕСТЕ
630;PR;ПУЭРТО-РИКО (США);ПУЭРТО-РИКО
634;QA;Государство Катар;КАТАР
638;RE;РЕЮНЬОН (Фр.);РЕЮНЬОН
642;RO;РУМЫНИЯ;РУМЫНИЯ
643;RU;Российская Федерация;РОССИЯ
646;RW;Руандийская Республика;РУАНДА
652;BL;СЕН-БАРТЕЛЕМИ;СЕН-БАРТЕЛЕМИ
654;SH;СВЯТАЯ ЕЛЕНА,ОСТРОВ ВОЗНЕСЕНИЯ,ТРИСТАН-ДА-КУНЬЯ;СВ.ЕЛЕНА,О.ВОЗ,ТРИСТ
659;KN;Федерация Сент-Китс (Сент-Кристофер) и Невис;СЕНТ-КИТС И НЕВИС
660;AI;АНГИЛЬЯ (Брит.);АНГИЛЬЯ
662;LC;СЕНТ-ЛЮСИЯ;СЕНТ-ЛЮСИЯ
663;MF;СЕН-МАРТЕН;СЕН-МАРТЕН
666;PM;СЕН-ПЬЕР И МИКЕЛОН;СЕН-ПЬЕР И МИКЕЛОН
670;VC;СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ;С-ВИНСЕНТ И ГРЕНАДИН
674;SM;Республика Сан-Марино;САН-МАРИНО
678;ST;Демократическая Республика Сан-Томе и Принсипи;САН-ТОМЕ И ПРИНСИП
682;SA;Королевство Саудовская Аравия;САУДОВСКАЯ АРАВИЯ
686;SN;Республика Сенегал;СЕНЕГАЛ
688;RS;Республика Сербия;СЕРБИЯ
690;SC;Республика Сейшелы;СЕЙШЕЛЫ
694;SL;Республика Сьерра-Леоне;СЬЕРРА-ЛЕОНЕ
702;SG;Республика Сингапур;СИНГАПУР
703;SK;Словацкая Республика;СЛОВАКИЯ
704;VN;Социалистическая Республика Вьетнам;ВЬЕТНАМ
705;SI;Республика Словения;СЛОВЕНИЯ
706;SO;Сомалийская Республика;СОМАЛИ
710;ZA;Южно-Африканская Республика;ЮЖНАЯ АФРИКА
716;ZW;Республика Зимбабве;ЗИМБАБВЕ
724;ES;Королевство Испания;ИСПАНИЯ
728;SS;Республика Южный Судан;Южный Судан
729;SD;Республика Судан;СУДАН
732;EH;ЗАПАДНАЯ САХАРА;ЗАПАДНАЯ САХАРА
740;SR;Республика Суринам;СУРИНАМ
744;SJ;ШПИЦБЕРГЕН ЯН МАЙЕН;ШПИЦБЕРГЕН ЯН МАЙЕН
748;SZ;Королевство Свазиленд;СВАЗИЛЕНД
752;SE;Королевство Швеция;ШВЕЦИЯ
756;CH;Швейцарская Конфедерация;ШВЕЙЦАРИЯ
760;SY;Сирийская Арабская Республика (САР);СИРИЙСКАЯ АРАБ.РЕСП.
762;TJ;Республика Таджикистан;ТАДЖИКИСТАН
764;TH;Королевство Таиланд;ТАИЛАНД
768;TG;Тоголезская Республика;ТОГО
772;TK;ТОКЕЛАУ;ТОКЕЛАУ
776;TO;Королевство Тонга;ТОНГА
780;TT;Республика Тринидад и Тобаго;ТРИНИДАД И ТОБАГО
784;AE;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ;ОБЪЕДИН.АРАБ.ЭМИРАТЫ
788;TN;Тунисская Республика;ТУНИС
792;TR;Турецкая Республика;ТУРЦИЯ
795;TM;Туркменистан;ТУРКМЕНИЯ
796;TC;ОСТРОВА ТЕРКС И КАЙКОС;О-ВА ТЕРКС И КАЙКОС
798;TV;ТУВАЛУ;ТУВАЛУ
800;UG;Республика Уганда;УГАНДА
804;UA;УКРАИНА;УКРАИНА
807;MK;РЕСПУБЛИКА МАКЕДОНИЯ;РЕСПУБЛИКА МАКЕДОНИЯ
818;EG;Арабская Республика Египет;ЕГИПЕТ
826;GB;Соединенное Королевство Великобритании и Северной Ирландии;СОЕДИНЕН.КОРОЛЕВСТВО
834;TZ;Объединенная Республика Танзания;ТАНЗАНИЯ,ОБЪЕД.РЕСП.
840;US;Соединенные Штаты Америки;СОЕДИНЕННЫЕ ШТАТЫ
850;VI;Виргинские Острова Соединенных Штатов;ВИРГИНСКИЕ О-ВА, США
854;BF;БУРКИНА-ФАСО;БУРКИНА-ФАСО
858;UY;Восточная Республика Уругвай;УРУГВАЙ
860;UZ;Республика Узбекистан;УЗБЕКИСТАН
862;VE;Боливарианская Республика Венесуэла;ВЕНЕСУЭЛА БОЛИВ.РЕСП
876;WF;УОЛЛИС И ФУТУНА;УОЛЛИС И ФУТУНА
882;WS;Независимое Государство Самоа;САМОА
887;YE;Республика Йемен;ЙЕМЕН
894;ZM;Республика Замбия;ЗАМБИЯ
897;DN;Донецкая Народная Республика;ДНР
898;LN;Луганская Народная Республика;ЛНР
999;;ПРОЧИЕ СТРАНЫ;ПРОЧИЕ СТРАНЫ
