cartype;name;short_name
6690;Полувагоны специализированные, к.п.о.;ПВСППР
6700;Думпкары;ДУМП
6710;Вагоны-самосвалы (думпкары) грузоподъемностью до 90 т;ДУМПА
6720;Вагоны-самосвалы (думпкары) грузоподъемностью от 90 до 110 т;ДУМПБ
6730;Вагоны-самосвалы (думпкары) грузоподъемностью от 110 до 139 т;ДУМПВ
6740;Вагоны-самосвалы (думпкары) грузоподъемностью 140 т и свыше;ДУМПГ
7000;Цистерны;ЦС
7090;Цистерны для нефтепродуктов;ЦНПРОД
7100;Цистерны нефтебензиновые (в т.ч. с трафаретом 'БЕНЗИН-НЕФТЬ');ЦНН
7110;Цистерны для нефти и темных нефтепродуктов (в т.ч. с трафаретом 'НЕФТЬ');ЦТН
7120;Цистерны 4-осные для нефти и темных нефтепродуктов;ЦТН4
7130;Цистерны 4-осные для темных нефтепродуктов без устройства для обогрева;ЦТН4Л
7140;Цистерны 4-осные для темных нефтепродуктов с устройством для обогрева;ЦТН4О
7150;Цистерны 8-осные для нефти и темных нефтепродуктов;ЦТН8
7160;Цистерны для бензина и светлых нефтепродуктов (в т.ч. с трафаретом 'БЕНЗИН');ЦСН
7170;Цистерны 4-осные для бензина и светлых нефтепродуктов;ЦСН4
7180;Цистерны 8-осные для бензина и светлых нефтепродуктов;ЦСН8
7190;Цистерны нефтебензиновые, к.п.о.;ЦПППР
7191;Цистерны для темных нефтепродуктов, к.п.о., специализированные по ранее перевезенному грузу;ЦТНПР
7192;Цистерны для светлых нефтепродуктов, к.п.о., специализированные по ранее перевезенному грузу;ЦСНПР
7200;Цистерны для вязких нефтепродуктов;ЦВН
7210;Цистерны для нефтепродуктов, дооборудованные устройствами для обогрева;ЦВНО
7230;Вагоны бункерного типа для нефтебитума;БПВ
7250;Цистерны для жидкого пека;ПЕК
7260;Цистерны для вязких нефтепродуктов, к.п.о;ЦВНПР
7270;Цистерны 4-осные для нефтепродуктов, к.п.о.;ЦС4ПР
7280;Цистерны 6-осные для нефтепродуктов;ЦС6
7290;Цистерны 8-осные для нефтепродуктов, к.п.о.;ЦС8ПР
7300;Цистерны химические и пищевые;ХПИЩ
7310;Цистерны химические;ХИМ
7400;Цистерны химические (кроме кислотных и газовых);ЛАТЕКС
7410;Цистерны химические для метанола и метилового спирта;МЕТАНЛ
7420;Цистерны химические для серы;ЦССЕРА
7430;Цистерны химические для ядохимикатов;ЯДХИМК
7440;Цистерны химические для пасты сульфанола;СУЛЬФЛ
7450;Цистерны химические для капролактама;КАПРОЛ
7460;Цистерны химические для альфа-олефинов;ГАЗОЛФ
7470;Цистерны химические для желтого фосфора;ЖФОСФР
7480;Цистерны химические для компонентов топлива (в т.ч. этиловой жидкости);КТОПЛВ
7490;Цистерны химические (кроме кислотных и газовых), к.п.о.;СУГЛРД
7500;Цистерны химические (кислотные);КСЛ
7510;Цистерны кислотные для серной кислоты;КСЛСЕР
7520;Цистерны кислотные для улучшенной серной кислоты;КСЛСЕР
7530;Цистерны кислотные для олеума;ОЛЕУМ
7550;Цистерны кислотные для азотной кислоты;КСЛАЗТ
7560;Цистерны кислотные для крепкой азотной кислоты;КСЛАЗТ
7570;Цистерны кислотные для меланжа;МЕЛАНЖ
7590;Цистерны кислотные для невыделенных отдельно кислот, перевозимых в сернокислотных цистернах;КСЛПРС
7610;Цистерны кислотные для соляной кислоты;КСЛСОЛ
7620;Цистерны кислотные для уксусной кислоты;КСУКСС
7630;Цистерны кислотные для фенола;ФЕНОЛ
7690;Цистерны химические (кислотные), к.п.о.;КСЛПР
7700;Цистерны химические (газовые);ЦСЖГ
